,estimator,mean_score,max_score,std_score,base_estimator__criterion,base_estimator__max_depth,base_estimator__min_samples_leaf,base_estimator__splitter,max_depth,min_samples_leaf,min_score,n_estimators,n_neighbors
262,AdaBoostClassifier,0.39221531752604605,0.42201834862385323,0.03415018414960939,gini,3,2,best,,,0.32619775739041795,13,
263,AdaBoostClassifier,0.36468679800394294,0.41896024464831805,0.06335846218083108,gini,3,2,best,,,0.27217125382262997,15,
13,AdaBoostClassifier,0.3938513067935191,0.4173469387755102,0.019775409721023096,gini,,1,random,,,0.3720693170234455,11,
255,AdaBoostClassifier,0.3681476257225841,0.4171779141104294,0.0434241057148839,gini,3,1,random,,,0.291539245667686,15,
343,KNeighborsClassifier,0.3983402795087379,0.4142857142857143,0.017239540699008855,,,,,,,0.3659531090723751,,4
295,AdaBoostClassifier,0.4005753896462996,0.4130879345603272,0.010546966605072957,gini,3,4,best,,,0.3843017329255861,15,
294,AdaBoostClassifier,0.3942488603103387,0.41182466870540263,0.016282878324992978,gini,3,4,best,,,0.3673469387755102,13,
344,KNeighborsClassifier,0.3969056623230895,0.40899795501022496,0.010599880417826729,,,,,,,0.381243628950051,,5
287,AdaBoostClassifier,0.36220319410479335,0.40797546012269936,0.0365799776285845,gini,3,3,random,,,0.31396534148827726,15,
253,AdaBoostClassifier,0.37855162957849314,0.40388548057259716,0.02347809228222955,gini,3,1,random,,,0.34046890927624873,11,
319,AdaBoostClassifier,0.3548503882519594,0.399592252803262,0.04226509879399183,gini,3,5,random,,,0.27726809378185524,15,
342,KNeighborsClassifier,0.3754691358166501,0.3967280163599182,0.01662375132548728,,,,,,,0.3476044852191641,,3
285,AdaBoostClassifier,0.34346121698524623,0.3936605316973415,0.05448607135555628,gini,3,3,random,,,0.25076452599388377,11,
